campaign_name,product_id,start_date,end_date
Konklux,35,7/21/2024,10/24/2024
Konklux,39,7/27/2024,7/26/2024
Overhold,25,4/23/2024,7/21/2024
Flexidy,47,11/28/2024,3/16/2024
Konklux,44,2/19/2024,5/16/2024
Matsoft,22,2/19/2024,2/6/2024
Tampflex,44,6/9/2024,7/1/2024
Redhold,35,12/25/2024,2/22/2024
Sonair,27,6/23/2024,3/18/2024
Flowdesk,17,9/2/2024,4/13/2024
Rank,27,6/5/2024,2/10/2024
It,49,3/21/2024,11/17/2024
Treeflex,41,5/9/2024,11/17/2024
Otcom,15,8/18/2024,8/22/2024
Viva,36,9/15/2024,10/10/2024
Matsoft,46,2/25/2024,3/11/2024
Fix San,20,9/3/2024,7/20/2024
Job,1,7/11/2024,2/11/2024
Mat Lam Tam,40,7/1/2024,12/27/2024
Solarbreeze,7,4/25/2024,1/18/2024
Gembucket,3,4/5/2024,10/19/2024
Konklab,20,10/16/2024,9/17/2024
Daltfresh,1,11/28/2024,9/30/2024
Stronghold,4,11/1/2024,12/29/2024
Bamity,21,1/18/2024,1/19/2024
Sub-Ex,5,3/6/2024,9/1/2024
Andalax,34,12/5/2024,9/12/2024
Wrapsafe,25,6/8/2024,1/26/2024
Greenlam,38,6/30/2024,8/13/2024
Bamity,49,10/28/2024,9/17/2024
Flowdesk,14,6/15/2024,12/6/2024
Stim,9,11/26/2024,7/9/2024
Alpha,18,4/18/2024,2/24/2024
Transcof,22,9/27/2024,5/25/2024
Biodex,24,5/25/2024,8/22/2024
Flowdesk,37,1/31/2024,12/1/2024
Span,50,2/7/2024,2/23/2024
Toughjoyfax,39,10/6/2024,4/1/2024
Keylex,16,6/14/2024,8/21/2024
Duobam,8,8/14/2024,1/1/2024
Fix San,41,11/13/2024,7/8/2024
Home Ing,33,9/30/2024,6/13/2024
Ventosanzap,4,1/8/2024,12/24/2024
Pannier,43,7/10/2024,12/18/2024
Tresom,37,11/29/2024,2/5/2024
Rank,14,7/25/2024,5/13/2024
Daltfresh,36,3/7/2024,8/2/2024
Voltsillam,32,9/12/2024,6/23/2024
It,6,7/12/2024,11/1/2024
Vagram,4,1/13/2024,2/3/2024
Bitwolf,34,7/6/2024,12/18/2024
Otcom,21,6/30/2024,6/15/2024
Zaam-Dox,34,1/21/2024,8/31/2024
Redhold,34,5/28/2024,6/22/2024
Daltfresh,20,12/29/2024,4/21/2024
Tresom,30,3/7/2024,4/23/2024
Daltfresh,12,5/7/2024,5/19/2024
Sub-Ex,47,6/2/2024,5/2/2024
Sub-Ex,40,6/14/2024,10/10/2024
Konklab,19,7/3/2024,12/16/2024
Stringtough,1,2/9/2024,6/24/2024
Namfix,7,3/20/2024,3/2/2024
Biodex,33,9/9/2024,3/21/2024
Biodex,30,6/3/2024,6/17/2024
Cookley,18,6/21/2024,4/2/2024
Holdlamis,47,11/24/2024,3/26/2024
Sonsing,44,6/29/2024,8/10/2024
Home Ing,7,7/15/2024,2/25/2024
Aerified,20,8/3/2024,6/20/2024
Matsoft,10,8/15/2024,3/18/2024
Otcom,42,6/12/2024,11/22/2024
Y-Solowarm,2,5/3/2024,1/14/2024
Transcof,38,11/21/2024,7/9/2024
Biodex,5,3/23/2024,12/30/2024
Bamity,46,4/20/2024,6/6/2024
Alpha,2,8/12/2024,6/1/2024
Bigtax,48,10/14/2024,1/27/2024
Konklab,31,6/8/2024,10/2/2024
Opela,47,1/3/2024,3/12/2024
Regrant,34,3/10/2024,7/20/2024
